MONTH,count,mean,std,min,25%,50%,75%,max
Janurary,53259.0,0.672412174468165,0.46933802112731393,0.0,0.0,1.0,1.0,1.0
February,49052.0,0.6642746473130555,0.4722482258523873,0.0,0.0,1.0,1.0,1.0
March,58183.0,0.6788752728460203,0.46691260819332714,0.0,0.0,1.0,1.0,1.0
April,53170.0,0.6716945646041,0.4696010264399898,0.0,0.0,1.0,1.0,1.0
May,53535.0,0.6258522461940786,0.48390658829301086,0.0,0.0,1.0,1.0,1.0
June,55954.0,0.5811380777066877,0.4933770999172086,0.0,0.0,1.0,1.0,1.0
July,59272.0,0.5976515049264408,0.49037561176607336,0.0,0.0,1.0,1.0,1.0
August,59438.0,0.6387832699619772,0.4803572483673786,0.0,0.0,1.0,1.0,1.0
September,54830.0,0.7049790260806128,0.45605634759402874,0.0,0.0,1.0,1.0,1.0
October,57793.0,0.6766909487308151,0.46774362025272354,0.0,0.0,1.0,1.0,1.0
November,54254.0,0.6846868433663877,0.4646447559378845,0.0,0.0,1.0,1.0,1.0
Decmeber,54012.0,0.6386914019106865,0.48038418748538847,0.0,0.0,1.0,1.0,1.0
